Person 1: (21, 109), status: IMMUNE, was infected 56 time(s).
Person 40: (48, 16), status: SUSCEPTIBLE, was infected 39 time(s).
Person 41: (49, 3), status: SUSCEPTIBLE, was infected 51 time(s).
Person 42: (100, 88), status: SUSCEPTIBLE, was infected 51 time(s).
Person 43: (89, 60), status: INFECTED, was infected 54 time(s).
Person 44: (13, 54), status: IMMUNE, was infected 64 time(s).
Person 45: (108, 47), status: SUSCEPTIBLE, was infected 49 time(s).
Person 46: (49, 79), status: IMMUNE, was infected 59 time(s).
Person 47: (1, 0), status: INFECTED, was infected 58 time(s).
Person 48: (53, 1), status: SUSCEPTIBLE, was infected 59 time(s).
Person 49: (18, 0), status: SUSCEPTIBLE, was infected 55 time(s).
Person 50: (29, 0), status: SUSCEPTIBLE, was infected 50 time(s).
Person 51: (76, 76), status: INFECTED, was infected 58 time(s).
Person 52: (41, 98), status: SUSCEPTIBLE, was infected 51 time(s).
Person 53: (5, 21), status: SUSCEPTIBLE, was infected 45 time(s).
Person 54: (52, 77), status: INFECTED, was infected 51 time(s).
Person 55: (30, 59), status: IMMUNE, was infected 59 time(s).
Person 56: (83, 83), status: INFECTED, was infected 51 time(s).
Person 57: (109, 14), status: IMMUNE, was infected 50 time(s).
Person 58: (36, 37), status: IMMUNE, was infected 54 time(s).
Person 59: (109, 68), status: IMMUNE, was infected 57 time(s).
Person 60: (102, 72), status: IMMUNE, was infected 60 time(s).
Person 61: (64, 49), status: SUSCEPTIBLE, was infected 57 time(s).
Person 62: (72, 39), status: SUSCEPTIBLE, was infected 56 time(s).
Person 63: (104, 101), status: SUSCEPTIBLE, was infected 37 time(s).
Person 64: (43, 61), status: INFECTED, was infected 45 time(s).
Person 65: (36, 98), status: INFECTED, was infected 56 time(s).
Person 66: (95, 89), status: SUSCEPTIBLE, was infected 38 time(s).
Person 67: (19, 55), status: INFECTED, was infected 64 time(s).
Person 68: (53, 109), status: SUSCEPTIBLE, was infected 56 time(s).
Person 69: (10, 17), status: SUSCEPTIBLE, was infected 59 time(s).
Person 70: (109, 25), status: IMMUNE, was infected 63 time(s).
Person 71: (54, 33), status: IMMUNE, was infected 58 time(s).
Person 72: (1, 9), status: IMMUNE, was infected 50 time(s).
Person 73: (77, 48), status: IMMUNE, was infected 38 time(s).
Person 74: (70, 84), status: SUSCEPTIBLE, was infected 55 time(s).
Person 75: (109, 79), status: SUSCEPTIBLE, was infected 63 time(s).
Person 76: (99, 33), status: SUSCEPTIBLE, was infected 49 time(s).
Person 77: (66, 81), status: IMMUNE, was infected 51 time(s).
Person 78: (65, 0), status: SUSCEPTIBLE, was infected 52 time(s).
Person 79: (33, 10), status: SUSCEPTIBLE, was infected 47 time(s).
Person 80: (3, 64), status: SUSCEPTIBLE, was infected 42 time(s).
Person 81: (56, 79), status: INFECTED, was infected 51 time(s).
Person 82: (6, 101), status: SUSCEPTIBLE, was infected 39 time(s).
Person 83: (29, 10), status: INFECTED, was infected 53 time(s).
Person 84: (80, 13), status: SUSCEPTIBLE, was infected 53 time(s).
Person 85: (25, 93), status: SUSCEPTIBLE, was infected 53 time(s).
Person 86: (34, 21), status: SUSCEPTIBLE, was infected 46 time(s).
Person 87: (26, 0), status: IMMUNE, was infected 56 time(s).
Person 88: (40, 70), status: INFECTED, was infected 56 time(s).
Person 89: (44, 65), status: IMMUNE, was infected 46 time(s).
Person 90: (49, 83), status: SUSCEPTIBLE, was infected 58 time(s).
Person 91: (102, 20), status: IMMUNE, was infected 53 time(s).
Person 92: (4, 80), status: IMMUNE, was infected 57 time(s).
Person 93: (21, 17), status: INFECTED, was infected 54 time(s).
Person 94: (60, 100), status: INFECTED, was infected 56 time(s).
Person 95: (32, 36), status: IMMUNE, was infected 62 time(s).
Person 96: (77, 84), status: SUSCEPTIBLE, was infected 49 time(s).
Person 97: (65, 19), status: INFECTED, was infected 52 time(s).
Person 98: (24, 0), status: SUSCEPTIBLE, was infected 49 time(s).
Person 99: (103, 60), status: SUSCEPTIBLE, was infected 54 time(s).
Person 100: (82, 21), status: SUSCEPTIBLE, was infected 58 time(s).
Person 101: (0, 16), status: SUSCEPTIBLE, was infected 57 time(s).
Person 102: (16, 109), status: SUSCEPTIBLE, was infected 48 time(s).
Person 103: (62, 6), status: INFECTED, was infected 52 time(s).
Person 104: (102, 90), status: IMMUNE, was infected 57 time(s).
Person 105: (0, 87), status: INFECTED, was infected 55 time(s).
Person 106: (0, 30), status: INFECTED, was infected 50 time(s).
Person 107: (68, 36), status: INFECTED, was infected 51 time(s).
Person 108: (47, 103), status: SUSCEPTIBLE, was infected 44 time(s).
Person 109: (13, 47), status: IMMUNE, was infected 59 time(s).
Person 110: (58, 4), status: SUSCEPTIBLE, was infected 52 time(s).
Person 111: (84, 58), status: INFECTED, was infected 63 time(s).
Person 112: (51, 54), status: IMMUNE, was infected 60 time(s).
Person 113: (17, 91), status: INFECTED, was infected 57 time(s).
Person 114: (0, 43), status: IMMUNE, was infected 68 time(s).
Person 115: (9, 109), status: INFECTED, was infected 46 time(s).
Person 116: (91, 93), status: SUSCEPTIBLE, was infected 46 time(s).
Person 117: (49, 39), status: IMMUNE, was infected 55 time(s).
Person 118: (24, 20), status: INFECTED, was infected 56 time(s).
Person 119: (0, 96), status: IMMUNE, was infected 53 time(s).
Person 120: (109, 84), status: IMMUNE, was infected 54 time(s).
Person 121: (83, 34), status: INFECTED, was infected 54 time(s).
Person 122: (76, 72), status: SUSCEPTIBLE, was infected 47 time(s).
Person 123: (59, 81), status: IMMUNE, was infected 57 time(s).
Person 124: (46, 62), status: SUSCEPTIBLE, was infected 49 time(s).
Person 125: (61, 7), status: IMMUNE, was infected 61 time(s).
Person 126: (109, 98), status: SUSCEPTIBLE, was infected 54 time(s).
Person 127: (66, 101), status: SUSCEPTIBLE, was infected 43 time(s).
Person 128: (61, 49), status: SUSCEPTIBLE, was infected 55 time(s).
Person 129: (19, 1), status: SUSCEPTIBLE, was infected 46 time(s).
Person 130: (35, 104), status: INFECTED, was infected 51 time(s).
Person 131: (0, 82), status: SUSCEPTIBLE, was infected 58 time(s).
Person 132: (90, 48), status: SUSCEPTIBLE, was infected 48 time(s).
Person 133: (109, 24), status: IMMUNE, was infected 53 time(s).
Person 134: (71, 68), status: IMMUNE, was infected 58 time(s).
Person 135: (104, 0), status: SUSCEPTIBLE, was infected 56 time(s).
Person 136: (99, 107), status: SUSCEPTIBLE, was infected 16 time(s).
Person 137: (58, 96), status: IMMUNE, was infected 63 time(s).
Person 138: (73, 48), status: INFECTED, was infected 50 time(s).
Person 139: (4, 29), status: INFECTED, was infected 49 time(s).
Person 140: (70, 84), status: SUSCEPTIBLE, was infected 55 time(s).
Person 141: (65, 109), status: IMMUNE, was infected 53 time(s).
Person 142: (109, 33), status: SUSCEPTIBLE, was infected 48 time(s).
Person 143: (95, 10), status: SUSCEPTIBLE, was infected 55 time(s).
Person 144: (80, 71), status: IMMUNE, was infected 51 time(s).
Person 145: (34, 0), status: SUSCEPTIBLE, was infected 53 time(s).
Person 146: (47, 58), status: SUSCEPTIBLE, was infected 45 time(s).
Person 147: (67, 105), status: IMMUNE, was infected 59 time(s).
Person 148: (45, 17), status: INFECTED, was infected 55 time(s).
Person 149: (68, 10), status: SUSCEPTIBLE, was infected 51 time(s).
Person 150: (51, 12), status: SUSCEPTIBLE, was infected 58 time(s).
Person 151: (63, 0), status: IMMUNE, was infected 55 time(s).
Person 152: (82, 109), status: IMMUNE, was infected 58 time(s).
Person 153: (38, 46), status: INFECTED, was infected 62 time(s).
Person 154: (10, 25), status: INFECTED, was infected 51 time(s).
Person 155: (45, 52), status: SUSCEPTIBLE, was infected 51 time(s).
Person 156: (62, 0), status: INFECTED, was infected 57 time(s).
Person 157: (44, 86), status: IMMUNE, was infected 57 time(s).
Person 158: (99, 83), status: IMMUNE, was infected 55 time(s).
Person 159: (95, 28), status: IMMUNE, was infected 55 time(s).
Person 160: (96, 20), status: IMMUNE, was infected 54 time(s).
Person 161: (68, 73), status: SUSCEPTIBLE, was infected 56 time(s).
Person 162: (56, 9), status: SUSCEPTIBLE, was infected 49 time(s).
Person 163: (21, 13), status: SUSCEPTIBLE, was infected 55 time(s).
Person 164: (15, 43), status: SUSCEPTIBLE, was infected 54 time(s).
Person 165: (94, 109), status: INFECTED, was infected 56 time(s).
Person 166: (14, 109), status: SUSCEPTIBLE, was infected 43 time(s).
Person 167: (74, 0), status: INFECTED, was infected 56 time(s).
Person 168: (0, 52), status: INFECTED, was infected 56 time(s).
Person 169: (5, 64), status: SUSCEPTIBLE, was infected 53 time(s).
Person 170: (1, 43), status: INFECTED, was infected 47 time(s).
Person 171: (58, 93), status: IMMUNE, was infected 53 time(s).
Person 172: (24, 51), status: INFECTED, was infected 56 time(s).
Person 173: (38, 6), status: INFECTED, was infected 41 time(s).
Person 174: (84, 19), status: INFECTED, was infected 59 time(s).
Person 175: (88, 109), status: SUSCEPTIBLE, was infected 58 time(s).
Person 176: (32, 57), status: SUSCEPTIBLE, was infected 49 time(s).
Person 177: (52, 63), status: SUSCEPTIBLE, was infected 52 time(s).
Person 178: (96, 101), status: SUSCEPTIBLE, was infected 46 time(s).
Person 179: (15, 105), status: SUSCEPTIBLE, was infected 48 time(s).
Person 180: (64, 109), status: IMMUNE, was infected 64 time(s).
Person 181: (109, 67), status: IMMUNE, was infected 55 time(s).
Person 182: (92, 96), status: IMMUNE, was infected 47 time(s).
Person 183: (100, 93), status: INFECTED, was infected 49 time(s).
Person 184: (25, 96), status: SUSCEPTIBLE, was infected 59 time(s).
Person 185: (14, 100), status: SUSCEPTIBLE, was infected 54 time(s).
Person 186: (91, 71), status: INFECTED, was infected 45 time(s).
Person 187: (34, 74), status: SUSCEPTIBLE, was infected 43 time(s).
Person 188: (57, 16), status: SUSCEPTIBLE, was infected 50 time(s).
Person 189: (109, 91), status: INFECTED, was infected 49 time(s).
Person 190: (0, 17), status: IMMUNE, was infected 55 time(s).
Person 191: (74, 0), status: INFECTED, was infected 53 time(s).
Person 192: (21, 0), status: INFECTED, was infected 53 time(s).
Person 193: (25, 94), status: INFECTED, was infected 46 time(s).
Person 194: (110, 61), status: SUSCEPTIBLE, was infected 50 time(s).
Person 195: (34, 96), status: INFECTED, was infected 58 time(s).
Person 196: (3, 46), status: SUSCEPTIBLE, was infected 39 time(s).
Person 197: (0, 83), status: SUSCEPTIBLE, was infected 54 time(s).
Person 198: (56, 109), status: SUSCEPTIBLE, was infected 60 time(s).
Person 199: (69, 0), status: SUSCEPTIBLE, was infected 55 time(s).
Person 200: (13, 68), status: IMMUNE, was infected 58 time(s).
Person 201: (14, 34), status: SUSCEPTIBLE, was infected 48 time(s).
Person 202: (61, 79), status: INFECTED, was infected 58 time(s).
Person 203: (29, 82), status: SUSCEPTIBLE, was infected 62 time(s).
Person 204: (71, 4), status: SUSCEPTIBLE, was infected 54 time(s).
Person 205: (33, 0), status: SUSCEPTIBLE, was infected 56 time(s).
Person 206: (52, 0), status: IMMUNE, was infected 53 time(s).
Person 207: (9, 98), status: INFECTED, was infected 48 time(s).
Person 208: (54, 76), status: IMMUNE, was infected 56 time(s).
Person 209: (34, 20), status: INFECTED, was infected 55 time(s).
Person 210: (66, 94), status: INFECTED, was infected 50 time(s).
Person 211: (109, 82), status: SUSCEPTIBLE, was infected 51 time(s).
Person 212: (96, 109), status: SUSCEPTIBLE, was infected 56 time(s).
Person 213: (30, 0), status: SUSCEPTIBLE, was infected 43 time(s).
Person 214: (45, 39), status: INFECTED, was infected 64 time(s).
Person 215: (24, 8), status: IMMUNE, was infected 45 time(s).
Person 216: (45, 46), status: INFECTED, was infected 63 time(s).
Person 217: (84, 42), status: IMMUNE, was infected 45 time(s).
Person 218: (25, 57), status: IMMUNE, was infected 59 time(s).
Person 219: (103, 105), status: SUSCEPTIBLE, was infected 25 time(s).
Person 220: (15, 109), status: SUSCEPTIBLE, was infected 56 time(s).
Person 221: (25, 28), status: SUSCEPTIBLE, was infected 54 time(s).
Person 222: (72, 60), status: IMMUNE, was infected 46 time(s).
Person 223: (63, 35), status: IMMUNE, was infected 52 time(s).
Person 224: (19, 0), status: IMMUNE, was infected 60 time(s).
Person 225: (70, 20), status: IMMUNE, was infected 55 time(s).
Person 226: (45, 109), status: SUSCEPTIBLE, was infected 56 time(s).
Person 227: (0, 34), status: SUSCEPTIBLE, was infected 57 time(s).
Person 228: (96, 55), status: IMMUNE, was infected 60 time(s).
Person 229: (29, 29), status: INFECTED, was infected 55 time(s).
Person 230: (97, 33), status: INFECTED, was infected 44 time(s).
Person 231: (22, 94), status: SUSCEPTIBLE, was infected 54 time(s).
Person 232: (109, 26), status: IMMUNE, was infected 42 time(s).
Person 233: (81, 37), status: SUSCEPTIBLE, was infected 54 time(s).
Person 234: (67, 0), status: IMMUNE, was infected 60 time(s).
Person 235: (66, 63), status: IMMUNE, was infected 46 time(s).
Person 236: (81, 64), status: IMMUNE, was infected 63 time(s).
Person 237: (0, 5), status: INFECTED, was infected 69 time(s).
Person 238: (81, 26), status: SUSCEPTIBLE, was infected 59 time(s).
Person 239: (8, 88), status: SUSCEPTIBLE, was infected 48 time(s).
Person 240: (50, 30), status: IMMUNE, was infected 46 time(s).
Person 241: (52, 90), status: INFECTED, was infected 51 time(s).
Person 242: (72, 35), status: IMMUNE, was infected 49 time(s).
Person 243: (63, 42), status: IMMUNE, was infected 57 time(s).
Person 244: (22, 108), status: IMMUNE, was infected 62 time(s).
Person 245: (88, 109), status: IMMUNE, was infected 54 time(s).
Person 246: (109, 51), status: INFECTED, was infected 57 time(s).
Person 247: (8, 71), status: SUSCEPTIBLE, was infected 52 time(s).
Person 248: (27, 104), status: INFECTED, was infected 53 time(s).
Person 249: (63, 100), status: IMMUNE, was infected 50 time(s).
Person 250: (9, 75), status: IMMUNE, was infected 45 time(s).
Person 251: (84, 90), status: INFECTED, was infected 55 time(s).
Person 252: (91, 68), status: SUSCEPTIBLE, was infected 52 time(s).
Person 253: (60, 65), status: INFECTED, was infected 56 time(s).
Person 254: (103, 45), status: SUSCEPTIBLE, was infected 35 time(s).
Person 255: (109, 4), status: INFECTED, was infected 51 time(s).
Person 256: (109, 95), status: SUSCEPTIBLE, was infected 43 time(s).
Person 257: (26, 49), status: IMMUNE, was infected 55 time(s).
Person 258: (14, 18), status: SUSCEPTIBLE, was infected 46 time(s).
Person 259: (41, 108), status: INFECTED, was infected 51 time(s).
Person 260: (0, 45), status: SUSCEPTIBLE, was infected 62 time(s).
Person 261: (22, 30), status: INFECTED, was infected 61 time(s).
Person 262: (63, 12), status: IMMUNE, was infected 53 time(s).
Person 263: (10, 57), status: INFECTED, was infected 57 time(s).
Person 264: (17, 109), status: SUSCEPTIBLE, was infected 58 time(s).
Person 265: (0, 44), status: IMMUNE, was infected 49 time(s).
Person 266: (47, 92), status: INFECTED, was infected 47 time(s).
Person 267: (84, 34), status: INFECTED, was infected 62 time(s).
Person 268: (49, 86), status: SUSCEPTIBLE, was infected 47 time(s).
Person 269: (28, 9), status: SUSCEPTIBLE, was infected 53 time(s).
Person 270: (73, 83), status: IMMUNE, was infected 56 time(s).
Person 271: (0, 30), status: INFECTED, was infected 60 time(s).
Person 272: (99, 108), status: IMMUNE, was infected 61 time(s).
Person 273: (2, 0), status: IMMUNE, was infected 41 time(s).
Person 274: (78, 27), status: IMMUNE, was infected 51 time(s).
Person 275: (32, 60), status: INFECTED, was infected 59 time(s).
Person 276: (64, 69), status: IMMUNE, was infected 56 time(s).
Person 277: (1, 87), status: IMMUNE, was infected 54 time(s).
Person 278: (0, 91), status: SUSCEPTIBLE, was infected 56 time(s).
Person 279: (84, 95), status: INFECTED, was infected 50 time(s).
Person 280: (88, 78), status: INFECTED, was infected 60 time(s).
Person 281: (44, 48), status: SUSCEPTIBLE, was infected 58 time(s).
Person 282: (66, 76), status: INFECTED, was infected 49 time(s).
Person 283: (14, 58), status: INFECTED, was infected 55 time(s).
Person 284: (0, 13), status: IMMUNE, was infected 55 time(s).
Person 285: (25, 63), status: INFECTED, was infected 63 time(s).
Person 286: (51, 87), status: SUSCEPTIBLE, was infected 51 time(s).
Person 287: (109, 37), status: IMMUNE, was infected 60 time(s).
Person 288: (42, 35), status: SUSCEPTIBLE, was infected 49 time(s).
Person 289: (49, 0), status: INFECTED, was infected 66 time(s).
Person 290: (0, 52), status: SUSCEPTIBLE, was infected 53 time(s).
Person 291: (84, 93), status: INFECTED, was infected 53 time(s).
Person 292: (21, 34), status: INFECTED, was infected 49 time(s).
Person 293: (25, 5), status: SUSCEPTIBLE, was infected 56 time(s).
Person 294: (2, 59), status: SUSCEPTIBLE, was infected 35 time(s).
Person 295: (90, 19), status: IMMUNE, was infected 57 time(s).
Person 296: (106, 109), status: INFECTED, was infected 58 time(s).
Person 297: (19, 6), status: IMMUNE, was infected 48 time(s).
Person 298: (107, 45), status: SUSCEPTIBLE, was infected 28 time(s).
Person 299: (100, 50), status: INFECTED, was infected 55 time(s).
Person 300: (76, 12), status: INFECTED, was infected 53 time(s).
Person 301: (9, 17), status: SUSCEPTIBLE, was infected 42 time(s).
Person 302: (72, 46), status: IMMUNE, was infected 49 time(s).
Person 303: (85, 109), status: IMMUNE, was infected 54 time(s).
Person 304: (35, 87), status: IMMUNE, was infected 56 time(s).
Person 305: (79, 17), status: IMMUNE, was infected 56 time(s).
Person 306: (0, 98), status: INFECTED, was infected 52 time(s).
Person 307: (31, 17), status: IMMUNE, was infected 57 time(s).
Person 308: (63, 7), status: INFECTED, was infected 56 time(s).
Person 309: (24, 80), status: SUSCEPTIBLE, was infected 52 time(s).
Person 310: (22, 109), status: INFECTED, was infected 56 time(s).
Person 311: (84, 37), status: IMMUNE, was infected 60 time(s).
Person 312: (78, 51), status: IMMUNE, was infected 53 time(s).
Person 313: (28, 41), status: IMMUNE, was infected 59 time(s).
Person 314: (46, 67), status: SUSCEPTIBLE, was infected 59 time(s).
Person 315: (9, 29), status: SUSCEPTIBLE, was infected 53 time(s).
Person 316: (38, 4), status: SUSCEPTIBLE, was infected 47 time(s).
Person 317: (109, 3), status: INFECTED, was infected 56 time(s).
Person 318: (33, 36), status: SUSCEPTIBLE, was infected 55 time(s).
Person 319: (59, 32), status: IMMUNE, was infected 58 time(s).
Person 320: (110, 104), status: IMMUNE, was infected 57 time(s).
Person 321: (37, 54), status: INFECTED, was infected 52 time(s).
Person 322: (84, 0), status: INFECTED, was infected 61 time(s).
Person 323: (41, 42), status: INFECTED, was infected 53 time(s).
Person 324: (104, 25), status: SUSCEPTIBLE, was infected 49 time(s).
Person 325: (56, 45), status: IMMUNE, was infected 57 time(s).
Person 326: (46, 52), status: IMMUNE, was infected 60 time(s).
Person 327: (33, 31), status: INFECTED, was infected 50 time(s).
Person 328: (71, 95), status: INFECTED, was infected 41 time(s).
Person 329: (109, 31), status: INFECTED, was infected 62 time(s).
Person 330: (63, 13), status: IMMUNE, was infected 54 time(s).
Person 331: (96, 20), status: INFECTED, was infected 55 time(s).
Person 332: (45, 48), status: IMMUNE, was infected 60 time(s).
Person 333: (23, 78), status: IMMUNE, was infected 54 time(s).
Person 334: (7, 45), status: SUSCEPTIBLE, was infected 61 time(s).
Person 335: (102, 55), status: IMMUNE, was infected 62 time(s).
Person 336: (100, 0), status: INFECTED, was infected 59 time(s).
Person 337: (66, 23), status: INFECTED, was infected 51 time(s).
Person 338: (87, 109), status: INFECTED, was infected 62 time(s).
Person 339: (53, 62), status: INFECTED, was infected 49 time(s).
Person 340: (81, 94), status: IMMUNE, was infected 52 time(s).
Person 341: (102, 92), status: IMMUNE, was infected 53 time(s).
Person 342: (46, 60), status: INFECTED, was infected 53 time(s).
Person 343: (104, 74), status: SUSCEPTIBLE, was infected 38 time(s).
Person 344: (67, 89), status: INFECTED, was infected 42 time(s).
Person 345: (44, 34), status: SUSCEPTIBLE, was infected 59 time(s).
Person 346: (14, 61), status: SUSCEPTIBLE, was infected 51 time(s).
Person 347: (17, 19), status: IMMUNE, was infected 50 time(s).
Person 348: (20, 14), status: INFECTED, was infected 43 time(s).
Person 349: (81, 109), status: IMMUNE, was infected 57 time(s).
Person 350: (13, 107), status: IMMUNE, was infected 32 time(s).
Person 351: (25, 37), status: SUSCEPTIBLE, was infected 61 time(s).
Person 352: (23, 1), status: IMMUNE, was infected 38 time(s).
Person 353: (17, 67), status: IMMUNE, was infected 59 time(s).
Person 354: (74, 61), status: IMMUNE, was infected 58 time(s).
Person 355: (107, 69), status: SUSCEPTIBLE, was infected 31 time(s).
Person 356: (45, 89), status: IMMUNE, was infected 50 time(s).
Person 357: (101, 45), status: IMMUNE, was infected 53 time(s).
Person 358: (109, 43), status: INFECTED, was infected 50 time(s).
Person 359: (2, 109), status: INFECTED, was infected 48 time(s).
Person 360: (59, 25), status: SUSCEPTIBLE, was infected 56 time(s).
Person 361: (54, 48), status: SUSCEPTIBLE, was infected 56 time(s).
Person 362: (5, 76), status: SUSCEPTIBLE, was infected 51 time(s).
Person 363: (37, 1), status: SUSCEPTIBLE, was infected 54 time(s).
Person 364: (66, 45), status: IMMUNE, was infected 52 time(s).
Person 365: (62, 69), status: INFECTED, was infected 55 time(s).
Person 366: (50, 37), status: SUSCEPTIBLE, was infected 43 time(s).
Person 367: (21, 85), status: IMMUNE, was infected 48 time(s).
Person 368: (44, 76), status: IMMUNE, was infected 55 time(s).
Person 369: (4, 55), status: SUSCEPTIBLE, was infected 51 time(s).
Person 370: (64, 109), status: SUSCEPTIBLE, was infected 60 time(s).
Person 371: (70, 50), status: INFECTED, was infected 41 time(s).
Person 372: (70, 28), status: SUSCEPTIBLE, was infected 46 time(s).
Person 373: (42, 35), status: SUSCEPTIBLE, was infected 54 time(s).
Person 374: (60, 80), status: IMMUNE, was infected 59 time(s).
Person 375: (57, 63), status: SUSCEPTIBLE, was infected 57 time(s).
Person 376: (62, 68), status: SUSCEPTIBLE, was infected 59 time(s).
Person 377: (59, 93), status: IMMUNE, was infected 55 time(s).
Person 378: (98, 55), status: IMMUNE, was infected 55 time(s).
Person 379: (55, 32), status: IMMUNE, was infected 62 time(s).
Person 380: (99, 36), status: INFECTED, was infected 56 time(s).
Person 381: (29, 0), status: SUSCEPTIBLE, was infected 61 time(s).
Person 382: (32, 69), status: INFECTED, was infected 58 time(s).
Person 383: (75, 76), status: IMMUNE, was infected 47 time(s).
Person 384: (39, 5), status: INFECTED, was infected 53 time(s).
Person 385: (67, 7), status: SUSCEPTIBLE, was infected 54 time(s).
Person 386: (108, 48), status: IMMUNE, was infected 59 time(s).
Person 387: (68, 65), status: SUSCEPTIBLE, was infected 54 time(s).
Person 388: (1, 94), status: INFECTED, was infected 52 time(s).
Person 389: (33, 7), status: INFECTED, was infected 50 time(s).
Person 390: (94, 0), status: IMMUNE, was infected 54 time(s).
Person 391: (49, 59), status: SUSCEPTIBLE, was infected 58 time(s).
Person 392: (109, 35), status: IMMUNE, was infected 59 time(s).
Person 393: (41, 0), status: INFECTED, was infected 56 time(s).
Person 394: (43, 92), status: IMMUNE, was infected 55 time(s).
Person 395: (67, 48), status: INFECTED, was infected 52 time(s).
Person 396: (60, 1), status: SUSCEPTIBLE, was infected 51 time(s).
Person 397: (20, 0), status: INFECTED, was infected 58 time(s).
Person 398: (65, 50), status: INFECTED, was infected 58 time(s).
Person 399: (42, 13), status: IMMUNE, was infected 60 time(s).
Person 400: (47, 100), status: IMMUNE, was infected 57 time(s).
Person 401: (12, 47), status: INFECTED, was infected 36 time(s).
Person 402: (109, 105), status: SUSCEPTIBLE, was infected 58 time(s).
Person 403: (109, 72), status: INFECTED, was infected 61 time(s).
Person 404: (91, 67), status: SUSCEPTIBLE, was infected 53 time(s).
Person 405: (38, 108), status: SUSCEPTIBLE, was infected 50 time(s).
Person 406: (75, 42), status: IMMUNE, was infected 63 time(s).
Person 407: (73, 109), status: SUSCEPTIBLE, was infected 59 time(s).
Person 408: (100, 55), status: SUSCEPTIBLE, was infected 47 time(s).
Person 409: (61, 0), status: SUSCEPTIBLE, was infected 55 time(s).
Person 410: (98, 19), status: IMMUNE, was infected 49 time(s).
Person 411: (39, 79), status: INFECTED, was infected 51 time(s).
Person 412: (60, 74), status: IMMUNE, was infected 56 time(s).
Person 413: (104, 9), status: SUSCEPTIBLE, was infected 53 time(s).
Person 414: (109, 86), status: INFECTED, was infected 57 time(s).
Person 415: (88, 74), status: INFECTED, was infected 61 time(s).
Person 416: (24, 14), status: INFECTED, was infected 43 time(s).
Person 417: (108, 93), status: IMMUNE, was infected 51 time(s).
Person 418: (77, 48), status: IMMUNE, was infected 51 time(s).
Person 419: (57, 91), status: SUSCEPTIBLE, was infected 47 time(s).
Person 420: (90, 98), status: SUSCEPTIBLE, was infected 44 time(s).
Person 421: (16, 94), status: INFECTED, was infected 45 time(s).
Person 422: (105, 26), status: IMMUNE, was infected 48 time(s).
Person 423: (96, 91), status: INFECTED, was infected 57 time(s).
Person 424: (35, 10), status: INFECTED, was infected 61 time(s).
Person 425: (0, 108), status: INFECTED, was infected 60 time(s).
Person 426: (25, 76), status: INFECTED, was infected 57 time(s).
Person 427: (109, 84), status: IMMUNE, was infected 60 time(s).
Person 428: (70, 75), status: INFECTED, was infected 62 time(s).
Person 429: (102, 1), status: INFECTED, was infected 51 time(s).
